# Метеостанция Москва (ВДНХ), Россия, WMO_ID=27612, выборка с 09.09.2024 по 09.09.2025, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27612&lang=ru
#
"Местное время в Москве (ВДНХ)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"06.09.2025 00:00";"12.3";"754.4";"768.0";"0.3";"96";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"15.0";"11.6";"";"";"";"";"";"";
"05.09.2025 21:00";"14.4";"754.1";"767.5";"0.7";"87";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"20.6";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"12.2";"Осадков нет";"12";"";"";"";"";
"05.09.2025 18:00";"20.0";"753.4";"766.6";"-0.3";"55";"Ветер, дующий с севера";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"20.0";"10.6";"Осадков нет";"12";"";"";"";"";
"05.09.2025 15:00";"20.2";"753.7";"766.8";"-0.5";"55";"Ветер, дующий с северо-северо-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"50%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"20.0";"10.9";"";"";"";"";"";"";
"05.09.2025 12:00";"19.0";"754.2";"767.5";"-0.2";"60";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"50%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"16.0";"11.0";"";"";"";"";"";"";
"05.09.2025 09:00";"15.2";"754.4";"767.8";"0.7";"76";"Ветер, дующий с северо-северо-востока";"1";"";"";"50%.";" ";"";"";"10.5";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые башенкообразные или хлопьевидные.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"10.9";"Осадков нет";"12";"Поверхность почвы влажная.";"11.0";"";"";
"05.09.2025 06:00";"10.6";"753.7";"767.3";"0.4";"97";"Штиль, безветрие";"0";"";"";"50%.";"Дымка. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"10.5";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"9.0";"10.2";"Осадков нет";"12";"";"";"";"";
"05.09.2025 03:00";"11.8";"753.3";"766.9";"0.5";"94";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"10.8";"";"";"";"";"";"";
"05.09.2025 00:00";"15.1";"752.8";"766.2";"0.1";"77";"Ветер, дующий с северо-северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"20.0";"11.0";"";"";"";"";"";"";
"04.09.2025 21:00";"13.4";"752.7";"766.1";"0.5";"87";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"18.3";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"11.2";"Осадков нет";"12";"";"";"";"";
"04.09.2025 18:00";"17.4";"752.2";"765.4";"0.3";"65";"Ветер, дующий с северо-запада";"2";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"10.6";"Осадков нет";"12";"";"";"";"";
"04.09.2025 15:00";"18.0";"751.9";"765.2";"0.1";"61";"Ветер, дующий с северо-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"10.2";"";"";"";"";"";"";
"04.09.2025 12:00";"17.0";"751.8";"765.1";"-0.1";"64";"Ветер, дующий с северо-северо-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"10.1";"";"";"";"";"";"";
"04.09.2025 09:00";"13.1";"751.9";"765.4";"0.4";"88";"Ветер, дующий с северо-северо-запада";"1";"";"";"100%.";" ";"";"";"12.4";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"20.0";"11.2";"Осадков нет";"12";"Поверхность почвы влажная.";"12.0";"";"";
"04.09.2025 06:00";"12.7";"751.5";"765.0";"0.4";"86";"Ветер, дующий с северо-северо-запада";"2";"";"";"100%.";" ";"";"";"12.5";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"10.4";"Осадков нет";"12";"";"";"";"";
"04.09.2025 03:00";"12.9";"751.1";"764.6";"0.4";"86";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"10.6";"";"";"";"";"";"";
"04.09.2025 00:00";"13.3";"750.7";"764.1";"0.3";"84";"Ветер, дующий с севера";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"10.7";"";"";"";"";"";"";
"03.09.2025 21:00";"14.1";"750.4";"763.9";"0.5";"77";"Ветер, дующий с северо-востока";"1";"";"";"40%.";" ";"";"";"";"16.1";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"10.0";"Осадков нет";"12";"";"";"";"";
"03.09.2025 18:00";"15.7";"749.9";"763.3";"0.3";"70";"Ветер, дующий с севера";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"10.3";"Осадков нет";"12";"";"";"";"";
"03.09.2025 15:00";"15.9";"749.6";"763.0";"0.5";"68";"Ветер, дующий с севера";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"9.9";"";"";"";"";"";"";
"03.09.2025 12:00";"14.8";"749.1";"762.4";"0.8";"74";"Ветер, дующий с северо-северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"10.2";"";"";"";"";"";"";
"03.09.2025 09:00";"13.8";"748.3";"761.7";"-0.1";"82";"Ветер, дующий с северо-северо-запада";"2";"";"";"100%.";" ";"";"";"13.3";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"18.0";"10.8";"Осадков нет";"12";"Поверхность почвы влажная.";"13.0";"";"";
"03.09.2025 06:00";"13.3";"748.4";"761.8";"0.4";"86";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"13.3";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"10.9";"Осадков нет";"12";"";"";"";"";
"03.09.2025 03:00";"13.7";"748.0";"761.4";"0.2";"87";"Ветер, дующий с северо-северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"20.0";"11.5";"";"";"";"";"";"";
"03.09.2025 00:00";"13.7";"747.8";"761.2";"0.1";"88";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"20.0";"11.8";"";"";"";"";"";"";
"02.09.2025 21:00";"14.1";"747.7";"761.1";"0.5";"85";"Ветер, дующий с северо-северо-запада";"2";"";"";"100%.";" ";"";"";"";"15.4";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"19.0";"11.6";"Осадков нет";"12";"";"";"";"";
"02.09.2025 18:00";"14.1";"747.2";"760.6";"1.0";"85";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"20.0";"11.6";"Осадков нет";"12";"";"";"";"";
"02.09.2025 15:00";"14.5";"746.2";"759.5";"0.9";"82";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"20.0";"11.4";"";"";"";"";"";"";
"02.09.2025 12:00";"14.6";"745.3";"758.5";"0.5";"83";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"20.0";"11.8";"";"";"";"";"";"";
"02.09.2025 09:00";"14.2";"744.8";"758.1";"0.4";"83";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"13.7";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"20.0";"11.4";"Осадков нет";"12";"Поверхность почвы влажная.";"14.0";"";"";
"02.09.2025 06:00";"13.7";"744.4";"757.7";"0.3";"90";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"13.7";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"20.0";"12.1";"Осадков нет";"12";"";"";"";"";
"02.09.2025 03:00";"15.0";"744.1";"757.3";"0.1";"81";"Ветер, дующий с северо-запада";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"20.0";"11.7";"";"";"";"";"";"";
"02.09.2025 00:00";"15.8";"744.0";"757.2";"-0.4";"82";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"12.8";"";"";"";"";"";"";
"01.09.2025 21:00";"16.6";"744.4";"757.6";"0.1";"78";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"";"21.8";"";"";"";"";"";"20.0";"12.7";"Осадков нет";"12";"";"";"";"";
"01.09.2025 18:00";"19.1";"744.3";"757.4";"0.2";"64";"Ветер, дующий с северо-запада";"3";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"12.2";"Осадков нет";"12";"";"";"";"";
"01.09.2025 15:00";"20.1";"744.1";"757.1";"0.3";"64";"Ветер, дующий с северо-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"19.0";"13.1";"";"";"";"";"";"";
"01.09.2025 12:00";"20.0";"743.8";"756.8";"0.8";"67";"Ветер, дующий с северо-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"13.7";"";"";"";"";"";"";
"01.09.2025 09:00";"21.2";"743.0";"756.0";"-0.3";"63";"Ветер, дующий с северо-северо-запада";"2";"";"";"10%  или менее, но не 0";" ";"";"";"14.4";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"19.0";"13.8";"Осадков нет";"12";"Поверхность почвы влажная.";"13.0";"";"";
"01.09.2025 06:00";"14.5";"743.3";"756.5";"-0.5";"97";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"14.4";"";"";"";"";"";"";"16.0";"14.1";"Осадков нет";"12";"";"";"";"";
"01.09.2025 03:00";"15.0";"743.8";"757.1";"-0.9";"95";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"11.0";"14.2";"";"";"";"";"";"";
"01.09.2025 00:00";"16.9";"744.7";"757.8";"-0.7";"90";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"12.0";"15.3";"";"";"";"";"";"";
"31.08.2025 21:00";"18.6";"745.4";"758.5";"-0.3";"77";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"28.8";"";"";"";"";"";"18.0";"14.5";"Осадков нет";"12";"";"";"";"";
"31.08.2025 18:00";"24.6";"745.7";"758.6";"-0.8";"53";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"19.0";"14.4";"Осадков нет";"12";"";"";"";"";
